Number,Quarter,StatedMonthlyIncome,LoanOriginalAmount,Employment,SqrtSMI
1,2007-Q1,4911.312,6411.913,Full-Time,70.08075342
2,2008-Q1,5016.775,6720.885,Full-Time,70.82919596
3,2010-Q1,5646.577,5053.384,Full-Time,75.14370898
4,2011-Q1,6115.389,5840.987,Full-Time,78.20095268
5,2012-Q1,5540.589,7025,Full-Time,74.43513283
6,2013-Q1,5812.998,8752.902,Full-Time,76.24301935
7,2014-Q1,6927.22,10505.128,Full-Time,83.2299225
8,2007-Q2,4925.812,7469.313,Full-Time,70.18412926
9,2008-Q2,4661.318,6129.545,Full-Time,68.27384565
10,2009-Q2,4509.993,1925,Full-Time,67.15648144
11,2010-Q2,5247.085,4274.5,Full-Time,72.43676553
12,2011-Q2,5363.474,6416.879,Full-Time,73.23574264
13,2012-Q2,5419.999,7682,Full-Time,73.62064249
14,2013-Q2,5501.589,8058.012,Full-Time,74.17269713
15,2007-Q3,4794.545,6828.934,Full-Time,69.24265304
16,2008-Q3,4841.62,5470.683,Full-Time,69.58175048
17,2009-Q3,5071.183,3890.994,Full-Time,71.21223912
18,2010-Q3,5470.513,4693.92,Full-Time,73.96291638
19,2011-Q3,5450.441,6372.148,Full-Time,73.82710207
20,2012-Q3,5483.386,7788.116,Full-Time,74.04988859
21,2013-Q3,5571.572,8288.583,Full-Time,74.6429635
22,2007-Q4,4980.167,7236.555,Full-Time,70.57029828
23,2008-Q4,5037.177,5329.053,Full-Time,70.97307236
24,2009-Q4,5392.683,4840.48,Full-Time,73.43488953
25,2010-Q4,5519.468,4611.906,Full-Time,74.29312216
26,2011-Q4,5565.805,6817.005,Full-Time,74.60432293
27,2012-Q4,5664.051,7827.676,Full-Time,75.25988972
28,2013-Q4,5302.117,7900,Full-Time,72.81563706
29,2011-Q1,5921.84,6768.557,Employed,76.95349245
30,2012-Q1,5669.803,7840.571,Employed,75.29809427
31,2013-Q1,6393.483,9838.875,Employed,79.95925838
32,2014-Q1,6417.685,12207.58,Employed,80.110455
33,2011-Q2,6319.417,6731.728,Employed,79.49476083
34,2012-Q2,5835.796,7657.838,Employed,76.39238182
35,2013-Q2,6263.323,10654.922,Employed,79.1411587
36,2010-Q3,5597.381,5661.186,Employed,74.81564676
37,2011-Q3,5802.438,6707.983,Employed,76.17373563
38,2012-Q3,5931.356,8210.374,Employed,77.01529718
39,2013-Q3,6283.206,10724.877,Employed,79.26667648
40,2010-Q4,5765.618,5680.837,Employed,75.93166665
41,2011-Q4,5839.259,7165.982,Employed,76.41504433
42,2012-Q4,5919.82,8632.681,Employed,76.94036652
43,2013-Q4,6243.056,11374.418,Employed,79.01301159
44,2006-Q1,4895.835,4250.5,Not Available,69.97024368
45,2007-Q1,4615.615,6492.259,Not Available,67.93831761
46,2006-Q2,4166.67,2500,Not Available,64.54974826
47,2006-Q3,4816.731,5066.825,Not Available,69.40267286
48,2006-Q4,4344.162,4776.542,Not Available,65.91025717
49,2011-Q1,4123.764,5615,Other,64.21653993
50,2012-Q1,3366.833,5137.792,Other,58.02441727
51,2013-Q1,3873.736,6897.242,Other,62.23934447
52,2014-Q1,3799.018,8431.354,Other,61.63617444
53,2011-Q2,3647.592,5125.863,Other,60.39529783
54,2012-Q2,3334.929,5897.31,Other,57.74884414
55,2013-Q2,3827.247,7331.462,Other,61.86474764
56,2010-Q3,4662.63,3607.143,Other,68.28345334
57,2011-Q3,2877.377,5217.156,Other,53.64118753
58,2012-Q3,3110.897,5897.014,Other,55.77541573
59,2013-Q3,3744.286,7278.693,Other,61.19057117
60,2010-Q4,2887.022,3683.333,Other,53.73101525
61,2011-Q4,3266.429,5562.786,Other,57.15268148
62,2012-Q4,3200.965,6178.112,Other,56.57707133
63,2013-Q4,3628.518,7390.652,Other,60.23718121
64,2007-Q1,1794.387,4854.039,Part-time,42.36020538
65,2008-Q1,1554.855,4482.357,Part-time,39.43164972
66,2010-Q1,1686.613,3055.319,Part-time,41.06839417
67,2011-Q1,1119.166,4620,Part-time,33.45393848
68,2012-Q1,2513.134,9700,Part-time,50.13116795
69,2013-Q1,3833.335,7500,Part-time,61.9139322
70,2007-Q2,1622.49,4665.443,Part-time,40.28014399
71,2008-Q2,1475.398,4082.278,Part-time,38.41090991
72,2010-Q2,1605.146,2719.915,Part-time,40.06427336
73,2011-Q2,1664.791,4158.333,Part-time,40.80185045
74,2012-Q2,2071.17,7000,Part-time,45.51010877
75,2013-Q2,2054.17,4250,Part-time,45.32295224
76,2007-Q3,1714.912,5001.1,Part-time,41.41149599
77,2008-Q3,1598.756,3318.521,Part-time,39.98444698
78,2009-Q3,1483.449,2013.9,Part-time,38.51556828
79,2010-Q3,1930.277,2864,Part-time,43.93491778
80,2011-Q3,2022.09,5245.455,Part-time,44.96765504
81,2012-Q3,1446.166,3800,Part-time,38.02848932
82,2013-Q3,2575.5,6000,Part-time,50.74938423
83,2007-Q4,1555.593,4760.293,Part-time,39.44100658
84,2008-Q4,2181.862,4519.444,Part-time,46.71040569
85,2009-Q4,1911.269,2410.595,Part-time,43.71806263
86,2010-Q4,1822.222,2855.556,Part-time,42.68749231
87,2011-Q4,1954.904,5328.571,Part-time,44.21429633
88,2012-Q4,1555.557,9666.667,Part-time,39.4405502
89,2007-Q1,3177.136,4151.545,Retired,56.3660891
90,2008-Q1,2834.335,4578.078,Retired,53.23847293
91,2010-Q1,2988.982,3069.854,Retired,54.67158311
92,2011-Q1,2906.625,5862.5,Retired,53.91312456
93,2012-Q1,3159.228,5447.368,Retired,56.20701024
94,2013-Q1,3394.556,6184.667,Retired,58.26281833
95,2007-Q2,2970.227,6366.704,Retired,54.49978899
96,2008-Q2,2570.888,4183.361,Retired,50.7039249
97,2009-Q2,3750,5000,Retired,61.23724357
98,2010-Q2,3007.078,3350.521,Retired,54.83683069
99,2011-Q2,2963.25,5052.381,Retired,54.43574193
100,2012-Q2,3511.25,3375,Retired,59.2558014
101,2013-Q2,1877.404,4214.286,Retired,43.3290203
102,2007-Q3,2259.137,5603.196,Retired,47.53037976
103,2008-Q3,4025.987,5785.222,Retired,63.45066588
104,2009-Q3,3178.35,3200,Retired,56.37685695
105,2010-Q3,3211.084,3209.375,Retired,56.66642745
106,2011-Q3,2977.25,4724,Retired,54.56418239
